a little	//
alarming	/ə'lɑ:miɳ/
alcohol	/'ælkəhɔl/
alcoholic	/,ælkə'hɔlik/
alive	/ə'laiv/
all	/ɔ:l/
all right	/'ɔ:l'rait/
allied	/ə'laid/
allow	/ə'lau/
ally	/'æli/
almost	/'ɔ:lmoust/
alone	/ə'loun/
along	/ə'lɔɳ/
alongside	/ə'lɔɳ'said/
aloud	/ə'laud/
alphabet	/'ælfəbit/
alphabetical	/,æflə'betikl/
alphabetically	/,ælfə'betikəli/
already	/ɔ:l'redi/
also	/'ɔ:lsou/
alter	/'ɔ:ltə/
alternative	/ɔ:l'tə:nətiv/
alternatively	//
although	/ɔ:l'ðou/
altogether	/,ɔ:ltə'geðə/
always	/'ɔ:lwəz/
amaze	/ə'meiz/
amazed	/ə'meiz/
amazing	/ə'meiziɳ/
ambition	/æm'biʃn/
ambulance	/'æmbjuləns/
among, amongst	/ə'mʌɳ/
amount	/ə'maunt/
amuse	/ə'mju:z/
amused	/ə'mju:zd/
amusing	/ə'mju:ziɳ/
analyse, analyze	/'ænəlaiz/
analysis	/ə'næləsis/
ancient	/'einʃənt/
and	/ænd, ənd, ən/
anger	/'æɳgə/
angle	/'æɳgl/
angrily	/'æɳgrili/
angry	/'æɳgri/
animal	/'æniməl/
ankle	/'æɳkl/
anniversary	/,æni'və:səri/
announce	/ə'nauns/
annoy	/ə'nɔi/
annoyed	/ə'nɔid/
annoying	/ə'nɔiiɳ/
annual	/'ænjuəl/
annually	/'ænjuəli/
another	/ə'nʌðə/
answer	/'ɑ:nsə/
anti	//
anticipate	/æn'tisipeit/
anxiety	/æɳ'zaiəti/
anxious	/'æɳkʃəs/
anxiously	/'æɳkʃəsli/
any	//
anyone (anybod)	/'eniwʌn/
anything	/'eniθiɳ/
anyway	/'eniwei/
anywhere	/'eniweə/
apart	/ə'pɑ:t/
apart from	/ə'pɑ:t/
apart from, aside from	//
apartment	/ə'pɑ:tmənt/
apologize	/ə'pɔlədʤaiz/
apparent	/ə'pærənt/
apparently	//
appeal	/ə'pi:l/
appear	/ə'piə/
appearance	/ə'piərəns/
apple	/'æpl/
application	/,æpli'keiʃn/
apply	/ə'plai/
appoint	/ə'pɔint/
appointment	/ə'pɔintmənt/
appreciate	/ə'pri:ʃieit/
approach	/ə'proutʃ/
appropriate (to, for)	/ə'proupriit/
approval	/ə'pru:vəl/
approve	/ə'pru:v/
approving	/ə'pru:viɳ/
approximate	/ə'prɔksimit/
approximately	/ə'prɔksimitli/
April (abbr Apr)	/'eiprəl/
area	/'eəriə/
argue	/'ɑ:gju:/
argument	/'ɑ:gjumənt/
arise	/ə'raiz/
arm	/ɑ:m/
armed	/ɑ:md/
arms	//
army	/'ɑ:mi/
around	/ə'raund/
arrange	/ə'reindʤ/
arrangement	/ə'reindʤmənt/
arrest	/ə'rest/
arrival	/ə'raivəl/
arrive (at, in)	/ə'raiv/
arrow	/'ærou/
art	/ɑ:t/
article	/'ɑ:tikl/
artificial	/,ɑ:ti'fiʃəl/
artificially	/,ɑ:ti'fiʃəli/
artist	/'ɑ:tist/
artistic	/ɑ:'tistik/
as	/æz, əz/
as well	//
ashamed	/ə'ʃeimd/
aside	/ə'said/
ask	/ɑ:sk/
asleep	/ə'sli:p/
aspect	/'æspekt/
assist	/ə'sist/
assistance	/ə'sistəns/
assistant	/ə'sistənt/
associate	/ə'souʃiit/
association	/ə,sousi'eiʃn/
assume	/ə'sju:m/
assure	/ə'ʃuə/
atmosphere	/'ætməsfiə/
atom	/'ætəm/
attach	/ə'tætʃ/
attached	//
attack	/ə'tæk/
attempt	/ə'tempt/
attempted	/ə'temptid/
attend	/ə'tend/
attention	/ə'tenʃn/
attitude	/'ætitju:d/
attorney	/ə'tə:ni/
attract	/ə'trækt/
attraction	/ə'trækʃn/
attractive	/ə'træktiv/
audience	/'ɔ:djəns/
August (abbr Aug)	/'ɔ:gəst - ɔ:'gʌst/
aunt	/ɑ:nt/
author	/'ɔ:θə/
authority	/ɔ:'θɔriti/
automatic	/,ɔ:tə'mætik/
automatically	//
autumn	/'ɔ:təm/
available	/ə'veiləbl/
average	/'ævəridʤ/
avoid	/ə'vɔid/
awake	/ə'weik/
award	/ə'wɔ:d/
aware	/ə'weə/
away	/ə'wei/
awful	/'ɔ:ful/
awfully	//
awkward	/'ɔ:kwəd/
awkwardly	//
back	/bæk/
background	/'bækgraund/
backward	/'bækwəd/
backwards	/'bækwədz/
bacteria	/bæk'tiəriəm/
bad	/bæd/
badly	/'bædli/
bad-tempered	/'bæd'tempəd/
bag	/bæg/
baggage	/'bædidʤ/
bake	/beik/
balance	/'bæləns/
ball	/bɔ:l/
ban	/bæn/
band	/bænd/
bandage	/'bændidʤ/
bank	/bæɳk/
bar	/bɑ:/
bargain	/'bɑ:gin/
barrier	/bæriə/
base	/beis/
basic	/'beisik/
basically	/'beisikəli/
basis	/'beisis/
bath	/bɑ:θ/
bathroom	//
battery	/'bætəri/
battle	/'bætl/
bay	/bei/
be sick	//
beach	/bi:tʃ/
beak	/bi:k/
bear	/beə/
beard	/biəd/
beat	/bi:t/
beautiful	/'bju:təful/
beautifully	/'bju:təfuli/
beauty	/'bju:ti/
because	/bi'kɔz/
become	/bi'kʌm/
bed	/bed/
bedroom	/'bedrum/
beef	/bi:f/
beer	/bi:ə/
before	/bi'fɔ:/
begin	/bi'gin/
beginning	/bi'giniɳ/
behalf	/bi:hɑ:f/
behalf, on sb’s behalf	//
behave	/bi'heiv/
behaviour, behavior	//
behind	/bi'haind/
belief	/bi'li:f/
believe	/bi'li:v/
bell	/bel/
belong	/bi'lɔɳ/
below	/bi'lou/
belt	/belt/
bend	/bentʃ/
beneath	/bi'ni:θ/
benefit	/'benifit/
bent	/bent/
beside	/bi'said/
bet	/bet/
better, best	/betə, best/
betting	/beting/
between	/bi'twi:n/
beyond	/bi'jɔnd/
bicycle (bike)	/baisikl/
bid	/bid/
big	/big/
bill	/bil/
bin	/bin/
biology	/bai'ɔlədʤi/
bird	/bə:d/
birth	/bə:θ/
birthday	/'bə:θdei/
biscuit	/'biskit/
bit	/bit/
bite	/bait/
bitter	/'bitə/
bitterly	/'bitəli/
black	/blæk/
blade	/bleid/
blame	/bleim/
blank	/blæɳk/
blankly	/'blæɳkli/
blind	/blaind/
block	/blɔk/
blonde (blond)	/blɔnd/
blood	/blʌd/
blow	/blou/
blue	/blu:/
board	/bɔ:d/
boat	/bout/
body	/'bɔdi/
boil	/bɔil/
bomb	/bɔm/
bone	/boun/
book	/buk/
boot	/bu:t/
border	/'bɔ:də/
bore	/bɔ:/
bored	//
boring	/'bɔ:riɳ/
born ( be born)	/bɔ:n/
borrow	/'bɔrou/
boss	/bɔs/
both	/bouθ/
bother	/'bɔðə/
bottle	/'bɔtl/
bottom	/'bɔtəm/
bound (bound to)	/baund/
bowl	/boul/
box	/bɔks/
boy	/bɔi/
boyfriend	//
brain	/brein/
branch	/brɑ:ntʃ/
brand	/brænd/
brave	/breiv/
bread	/bred/
break	/breik/
breakfast	/'brekfəst/
breast	/brest/
breath	/breθ/
breathe	/bri:ð/
breathing	/'bri:ðiɳ/
breed	/bri:d/
brick	/brik/
bridge	/bridʤ/
brief	/bri:f/
briefly	/'bri:fli/
bright	/brait/
brightly	/braitli/
brilliant	/'briljənt/
bring	/briɳ/
broad	/broutʃ/
broadcast	/'brɔ:dkɑ:st/
broadly	/'brɔ:dli/
broken	/'broukən/
brother	/'brΔðз/
brown	/braun/
brush	/brΔ∫/
bubble	/'bΔbl/
budget	/ˈbʌdʒɪt/
build	/bild/
building	/'bildiŋ/
bullet	/'bulit/
bunch	/bΛnt∫/
burn	/bə:n/
burnt	/bə:nt/
burst	/bə:st/
bury	/'beri/
bus	/bʌs/
bush	/bu∫/
business	/'bizinis/
businessman, businesswoman	//
busy	/´bizi/
but	/bʌt/
butter	/'bʌtə/
button	/'bʌtn/
buy	/bai/
buyer	/´baiə/
by	/bai/
bye	/bai/
cabinet	/'kæbinit/
cable	/'keibl/
cake	/keik/
calculate	/'kælkjuleit/
calculation	/,kælkju'lei∫n/
call	/kɔ:l/
calm	/kɑ:m/
calmly	/kɑ:mli/
camera	/kæmərə/
camp	/kæmp/
campaign	/kæmˈpeɪn/
camping	/kæmpiη/
can	/kæn/
cancel	/´kænsəl/
cancer	/'kænsə/
candidate	/'kændidit/
candy	/´kændi/
cap	/kæp/
capable	/'keipәb(ә)l/
capacity	/kə'pæsiti/
capital	/ˈkæpɪtl/
captain	/'kæptin/
capture	/'kæptʃə/
car	/kɑ:/
card	/kɑ:d/
cardboard	/´ka:d¸bɔ:d/
care	/kɛər/
career	/kə'riə/
careful	/'keəful/
carefully	/´kɛəfuli/
careless	/´kɛəlis/
carelessly	//
carpet	/'kɑ:pit/
carrot	/´kærət/
carry	/ˈkæri/
case	/keis/
cash	/kæʃ/
cast	/kɑ:st/
castle	/'kɑ:sl/
cat	/kæt/
catch	/kætʃ/
category	/'kætigəri/
cause	/kɔ:z/
CD	//
cease	/si:s/
ceiling	/ˈsilɪŋ/
celebrate	/'selibreit/
celebration	/,seli'breiʃn/
cell	/sel/
cellphone, cellular phone	//
cent	/sent/
centimetre	/'senti,mi:tз/
centimetre, centimeter	//
central	/´sentrəl/
centre	/'sentə/
century	/'sentʃuri/
ceremony	/´seriməni/
certain	/'sə:tn/
certainly	/´sə:tnli/
certificate	/sə'tifikit/
chain	/tʃeɪn/
chair	/tʃeə/
chairman, chairwoman	/tʃeəmən, 'tʃeə,wumən/
challenge	/'tʃælindʤ/
chamber	/ˈtʃeɪmbər/
chance	/tʃæns , tʃɑ:ns/
change	/tʃeɪndʒ/
channel	/'tʃænl/
chapter	/'t∫æptə(r)/
character	/'kæriktə/
characteristic	/¸kærəktə´ristik/
charge	/tʃɑ:dʤ/
charity	/´tʃæriti/
chart	/tʃa:t/
chase	/tʃeis/
chat	/tʃæt/
cheap	/tʃi:p/
cheaply	//
cheat	/tʃit/
check	/tʃek/
cheek	/´tʃi:k/
cheerful	/´tʃiəful/
cheerfully	//
cheese	/tʃi:z/
chemical	/ˈkɛmɪkəl/
chemist	/´kemist/
chemist’s	//
chemistry	/´kemistri/
cheque	/t∫ek/
chest	/tʃest/
chew	/tʃu:/
chicken	/ˈtʃɪkin/
chief	/tʃi:f/
child	/tʃaild/
chin	/tʃin/
chip	/tʃip/
chocolate	/ˈtʃɒklɪt/
choice	/tʃɔɪs/
choose	/t∫u:z/
chop	/tʃɔp/
church	/tʃə:tʃ/
cigarette	/¸sigə´ret/
cinema	/ˈsɪnəmə/
circle	/'sə:kl/
circumstance	/ˈsɜrkəmˌstəns/
citizen	/´sitizən/
city	/'si:ti/
civil	/'sivl/
claim	/kleim/
clap	/klæp/
class	/klɑ:s/
classic	/'klæsik/
classroom	/'klα:si/
clean	/kli:n/
clear	//
clearly	/´kliəli/
clerk	/kla:k/
clever	/'klevə/
click	/klik/
client	/´klaiənt/
climate	/'klaimit/
climb	/klaim/
climbing	/´klaimiη/
clock	/klɔk/
close	/klouz/
closed	/klouzd/
closely	/´klousli/
closet	/'klozit/
cloth	/klɔθ/
clothes	/klouðz/
clothing	/´klouðiη/
cloud	/klaud/
club	/´klʌb/
coach	/koʊtʃ/
coal	/koul/
coast	/koust/
coat	/koʊt/
code	/koud/
coffee	/'kɔfi/
coin	/kɔin/
cold	/kould/
coldly	/'kouldli/
collapse	/kз'læps/
colleague	/ˈkɒlig/
collect	/kə´lekt/
collection	/kəˈlɛkʃən/
college	/'kɔlidʤ/
color, colour	/'kʌlə/
coloured	/´kʌləd/
column	/'kɔləm/
combination	/,kɔmbi'neiʃn/
combine	/'kɔmbain/
come	/kʌm/
comedy	/´kɔmidi/
comfort	/'kΔmfзt/
comfortable	/'kΔmfзtзbl/
comfortably	/´kʌmfətəbli/
command	/kə'mɑ:nd/
comment	/ˈkɒment/
commercial	/kə'mə:ʃl/
commission	/kəˈmɪʃən/
commit	/kə'mit/
commitment	/kə'mmənt/
committee	/kə'miti/
common	/'kɔmən/
commonly	/´kɔmənli/
communicate	/kə'mju:nikeit/
communication	/kə,mju:ni'keiʃn/
community	/kə'mju:niti/
company	/´kʌmpəni/
compare	/kәm'peә(r)/
comparison	/kəm'pærisn/
compete	/kəm'pi:t/
competition	/,kɔmpi'tiʃn/
competitive	/kəm´petitiv/
complain	/kəm´plein/
complaint	/kəmˈpleɪnt/
complete	/kəm'pli:t/
completely	/kзm'pli:tli/
complex	/'kɔmleks/
complicate	/'komplikeit/
complicated	/'komplikeitid/
computer	/kəm'pju:tə/
concentrate	/'kɔnsentreit/
concentration	/,kɒnsn'trei∫n/
concept	/ˈkɒnsept/
concern	/kәn'sз:n/
concerned	/kən´sə:nd/
concerning	/kən´sə:niη/
concert	/kən'sə:t/
conclude	/kənˈklud/
conclusion	/kənˈkluʒən/
concrete	/'kɔnkri:t/
condition	/kәn'di∫әn/
conduct	/kən'dʌkt/
conference	/ˈkɒnfrəns/
confidence	/'konfid(ә)ns/
confident	/'kɔnfidənt/
confidently	/'kɔnfidəntli/
confine	/kən'fain/
confined	/kən'faind/
confirm	/kən'fə:m/
conflict	/ˈkɒnflɪkt/
confront	/kən'frʌnt/
confuse	//
confused	/kən'fju:zd/
confusing	/kən'fju:ziη/
confusion	/kən'fju:ʒn/
congratulations	/kən,grætju'lei∫n/
congress	/'kɔɳgres/
connect	/kə'nekt/
connection	/kə´nekʃən,/
conscious	/ˈkɒnʃəs/
consequence	/'kɔnsikwəns/
conservative	/kən´sə:vətiv/
consider	/kən´sidə/
considerable	/kən'sidərəbl/
considerably	/kən'sidərəbly/
consideration	/kənsidə'reiʃn/
consist of	/kən'sist/
constant	/'kɔnstənt/
constantly	/'kɔnstəntli/
construct	/kən´strʌkt/
construction	/kən'strʌkʃn/
consult	/kən'sʌlt/
consumer	/kən'sju:mə/
contact	/ˈkɒntækt/
contain	/kәn'tein/
container	/kən'teinə/
contemporary	/kən'tempərəri/
content	/kən'tent/
contest	/kən´test/
context	/'kɔntekst/
continent	/'kɔntinənt/
continue	/kən´tinju:/
continuous	/kən'tinjuəs/
continuously	/kən'tinjuəsli/
contract	/'kɔntrækt/
contrast	/kən'træst/
contrasting	/kən'træsti/
contribute	/kən'tribju:t/
contribution	/¸kɔntri´bju:ʃən/
control	/kən'troul/
controlled	/kən'trould/
convenient	/kən´vi:njənt/
convention	/kən'ven∫n/
conventional	/kən'ven∫ənl/
conversation	/,kɔnvə'seiʃn/
convert	/kən'və:t/
convince	/kən'vins/
cook	/kʊk/
cooker	/´kukə/
cookie	/´kuki/
cooking	/kʊkiɳ/
cool	/ku:l/
cope (+ with)	/koup/
copy	/'kɔpi/
core	/kɔ:/
corner	/´kɔ:nə/
correct	/kə´rekt/
correctly	/kə´rektli/
cost	/kɔst , kɒst/
cottage	/'kɔtidʤ/
cotton	/ˈkɒtn/
cough	/kɔf/
coughing	/´kɔfiη/
could	/kud/
council	/kaunsl/
count	/kaunt/
counter	/ˈkaʊntər/
country	/ˈkʌntri/
countryside	/'kʌntri'said/
county	/koun'ti/
couple	/'kʌpl/
courage	/'kʌridʤ/
course	/kɔ:s/
court	/kɔrt , koʊrt/
cousin	/ˈkʌzən/
cover	/'kʌvə/
covered	/'kʌvərd/
covering	/´kʌvəriη/
cow	/kaʊ/
crack	/kræk/
cracked	/krækt/
craft	/kra:ft/
crash	/kræʃ/
crazy	/'kreizi/
cream	/kri:m/
create	/kri:'eit/
creature	/'kri:tʃə/
credit	/ˈkrɛdɪt/
credit card	//
crime	/kraim/
criminal	/ˈkrɪmənl/
crisis	/ˈkraɪsɪs/
crisp	/krips/
criterion	/kraɪˈtɪəriən/
critical	/ˈkrɪtɪkəl/
criticism	/´kriti¸sizəm/
criticize	/ˈkrɪtəˌsaɪz/
crop	/krop/
cross	/krɔs/
crowd	/kraud/
crowded	/kraudid/
crown	/kraun/
crucial	/´kru:ʃəl/
cruel	/'kru:ә(l)/
crush	/krᴧ∫/
cry	/krai/
cultural	/ˈkʌltʃərəl/
culture	/ˈkʌltʃər/
cup	/kʌp/
cupboard	/'kʌpbəd/
curb	/kə:b/
cure	/kjuə/
curious	/'kjuəriəs/
curiously	/'kjuəriəsli/
curl	/kə:l/
curly	/´kə:li/
current	/'kʌrənt/
currently	/'kʌrəntli/
curtain	/'kə:tn/
curve	/kə:v/
curved	/kə:vd/
custom	/'kʌstəm/
customer	/´kʌstəmə/
customs	/´kʌstəmz/
cut	/kʌt/
cycle	/'saikl/
cycling	/saikliŋ/
dad	/dæd/
daily	/'deili/
damage	/'dæmidʤ/
damp	/dæmp/
dance	/dɑ:ns/
dancer	/'dɑ:nsə/
dancing	/'dɑ:nsiɳ/
danger	/'deindʤə/
dangerous	/´deindʒərəs/
dare	/deər/
dark	/dɑ:k/
data	/´deitə/
date	/deit/
daughter	/ˈdɔtər/
day	/dei/
dead	/ded/
deaf	/def/
deal	/di:l/
dear	/diə/
death	/deθ/
debate	/dɪˈbeɪt/
debt	/det/
decade	/'dekeid/
decay	/di'kei/
December (abbr Dec)	/di'sembə/
decide	/di'said/
decision	/diˈsiʒn/
declare	/di'kleə/
decline	/di'klain/
decorate	/´dekə¸reit/
decoration	/¸dekə´reiʃən/
decorative	/´dekərətiv/
decrease	/'di:kri:s/
deep	/di:p/
deeply	/´di:pli/
defeat	/di'fi:t/
defence	/di'fens/
defend	/di'fend/
define	/di'fain/
definite	/dә'finit/
definitely	/'definitli/
definition	/defini∫n/
degree	/dɪˈgri:/
delay	/dɪˈleɪ/
deliberate	/di'libәreit/
deliberately	/di´libəritli/
delicate	/'delikeit/
delight	/di'lait/
delighted	/di'laitid/
deliver	/di'livə/
delivery	/di'livəri/
demand	/dɪ.ˈmænd/
demonstrate	/ˈdɛmənˌstreɪt/
dentist	/'dentist/
deny	/di'nai/
department	/di'pɑ:tmənt/
departure	/di'pɑ:tʃə/
depend	/di'pend/
deposit	/dɪˈpɒzɪt/
depress	/di´pres/
depressed	/di-'prest/
depressing	/di'presiη/
depth	/depθ/
derive	/di´raiv/
describe	/dɪˈskraɪb/
description	/dɪˈskrɪpʃən/
desert	/ˈdɛzərt/
deserted	/di'zз:tid/
deserve	/di'zз:v/
design	/di´zain/
desire	/di'zaiə/
desk	/desk/
desperate	/'despərit/
desperately	/'despəritli/
despite	/dis'pait/
destroy	/dis'trɔi/
destruction	/dis'trʌk∫n/
detail	/(n) ˈditeɪl ; (v) dɪˈteɪl/
detailed	/'di:teild/
determination	/di,tə:mi'neiʃn/
determine	/di'tз:min/
determined	/di´tə:mind/
develop	/di'veləp/
development	/di’velәpmәnt/
device	/di'vais/
devote	/di'vout/
devoted	/di´voutid/
diagram	/ˈdaɪəˌgræm/
diamond	/´daiəmənd/
diary	/'daiəri/
dictionary	/'dikʃənəri/
die	/daɪ/
diet	/'daiət/
difference	/ˈdɪfərəns , ˈdɪfrəns/
different	/'difrзnt/
differently	/'difrзntli/
difficult	/'difik(ə)lt/
difficulty	/'difikəlti/
dig	/dɪg/
dinner	/'dinə/
direct	/di'rekt; dai'rekt/
direction	/di'rek∫n/
directly	/dai´rektli/
director	/di'rektə/
dirt	/də:t/
dirty	/´də:ti/
disabled	/dis´eibld/
disadvantage	/dɪsədˈvɑntɪdʒ/
disagree	/¸disə´gri:/
disagreement	/¸disəg´ri:mənt/
disappear	/disə'piə/
disappoint	/ˌdɪsəˈpɔɪnt/
disappointed	/,disз'pointid/
disappointing	/¸disə´pɔintiη/
disappointment	/¸disə´pɔintmənt/
disapproval	/¸disə´pru:vl/
disapprove	/¸disə´pru:v/
disapproving	/¸disə´pru:viη/
disaster	/di'zɑ:stə/
disc, disk	/disk/
discipline	/'disiplin/
discount	/'diskaunt/
discover	/dis'kʌvə/
discovery	/dis'kʌvəri/
discuss	/dis'kΛs/
discussion	/dis'kʌʃn/
disease	/di'zi:z/
disgust	/dis´gʌst/
disgusted	/dis´gʌstid/
disgusting	/dis´gʌstiη/
dish	/diʃ/
dishonest	/dis´ɔnist/
dishonestly	/dis'onistli/
disk	/disk/
dislike	/dis'laik/
dismiss	/dis'mis/
display	/dis'plei/
dissolve	/dɪˈzɒlv/
distance	/'distəns/
distinguish	/dis´tiηgwiʃ/
distribute	/dis'tribju:t/
distribution	/,distri'bju:ʃn/
district	/'distrikt/
disturb	/dis´tə:b/
disturbing	/dis´tə:biη/
divide	/di'vaid/
division	/dɪ'vɪʒn/
divorce	/di´vɔ:s/
divorced	/di'vo:sd/
do	/du:, du/
doctor (abbr Dr)	/'dɔktə/
document	/'dɒkjʊmənt/
dog	/dɔg/
dollar	/´dɔlə/
domestic	/də'mestik/
dominate	/ˈdɒməˌneɪt/
door	/dɔ:/
dot	/dɔt/
double	/'dʌbl/
doubt	/daut/
down	/daun/
downstairs	/daun'steзz/
downward	/´daun¸wəd/
downwards	/´daun¸wədz/
dozen	/dʌzn/
draft	/dra:ft/
drag	/drӕg/
drama	/drɑː.mə/
dramatic	/drə´mætik/
dramatically	/drə'mætikəli/
draw	/dro:/
drawer	/´drɔ:ə/
drawing	/'dro:iŋ/
dream	/dri:m/
dress	/dres/
dressed	//
drink	/driɳk/
drive	/draiv/
driver	/draivә(r)/
driving	/'draiviɳ/
drop	/drɒp/
drug	/drʌg/
drugstore	/'drʌgstɔ:/
drum	/drʌm/
drunk	/drʌŋk/
dry	/drai/
due	/du, dyu/
dull	/dʌl/
dump	/dʌmp/
during	/'djuəriɳ/
dust	/dʌst/
duty	/'dju:ti/
DVD	//
dying	/ˈdaɪɪŋ/
e.g.	//
each	/i:tʃ/
each other	//
each other	//
ear	/iə/
early	/´ə:li/
earn	/ə:n/
earth	/ə:θ/
ease	/i:z/
easily	/'i:zili/
east	/i:st/
eastern	/'i:stən/
easy	/'i:zi/
eat	/i:t/
economic	/¸i:kə´nɔmik/
economy	/ɪˈkɒnəmi/
edge	/edӡ/
edition	/i'diʃn/
editor	/´editə/
educate	/'edju:keit/
educated	/'edju:keitid/
education	/,edju:'keiʃn/
effect	/i'fekt/
effective	/'ifektiv/
effectively	/i'fektivli/
efficient	/i'fiʃənt/
efficiently	/i'fiʃəntli/
effort	/´efə:t/
egg	/eg/
either	/´aiðə/
elbow	/elbou/
elderly	/´eldəli/
elect	/i´lekt/
election	/i´lekʃən/
electric	/ɪˈlɛktrɪk/
electrical	/i'lektrikəl/
electricity	/ilek'trisiti/
electronic	/ɪlɛkˈtrɒnɪk , ˌilɛkˈtrɒnɪk/
elegant	/´eligənt/
element	/ˈɛləmənt/
elevator	/ˈɛləˌveɪtər/
else	/els/
elsewhere	/¸els´wɛə/
email, e-mail	/'imeil/
embarrass	/im´bærəs/
embarrassed	/im´bærəst/
embarrassing	/im´bærəsiη/
embarrassment	/im´bærəsmənt/
emerge	/i´mə:dʒ/
emergency	/i'mз:dЗensi/
emotion	/i'moƱʃ(ә)n/
emotional	/i´mouʃənəl/
emotionally	/i´mouʃənəli/
emphasis	/´emfəsis/
emphasize	/ˈɛmfəˌsaɪz/
empire	/'empaiə/
employ	/im'plɔi/
employee	/¸emplɔi´i:/
employer	/em´plɔiə/
employment	/im'plɔimənt/
empty	/'empti/
enable	/i'neibl/
encounter	/in'kautә/
encourage	/in'kΔridЗ/
encouragement	/in´kʌridʒmənt/
end	/end/
ending	/´endiη/
enemy	/'enәmi/
energy	/ˈɛnərdʒi/
engage	/in'geidʤ/
engaged	/in´geidʒd/
engine	/en'ʤin/
engineer	/endʒi'niər/
engineering	/,enʤɪ'nɪərɪŋ/
enjoy	/in'dЗoi/
enjoyable	/in´dʒɔiəbl/
enjoyment	/in´dʒɔimənt/
enormous	/i'nɔ:məs/
enough	/i'nʌf/
enquiry	/in'kwaiәri/
ensure	/ɛnˈʃʊər , ɛnˈʃɜr/
enter	/´entə/
entertain	/,entə'tein/
entertainer	/¸entə´teinə/
entertaining	/,entə'teiniɳ/
entertainment	/entə'teinm(ə)nt/
enthusiasm	/ɛnˈθuziˌæzəm/
enthusiastic	/ɛnˌθuziˈæstɪk/
entire	/in'taiə/
entirely	/in´taiəli/
entitle	/in'taitl/
entrance	/'entrəns/
entry	/ˈɛntri/
envelope	/'enviloup/
environment	/in'vaiərənmənt/
environmental	/in,vairən'mentl/
equal	/´i:kwəl/
equally	/'i:kwзli/
equipment	/i'kwipmənt/
equivalent	/i´kwivələnt/
error	/'erə/
escape	/is'keip/
especially	/is'peʃəli/
essay	/ˈɛseɪ/
essential	/əˈsɛnʃəl/
essentially	/e¸senʃi´əli/
establish	/ɪˈstæblɪʃ/
estate	/ɪˈsteɪt/
estimate	/'estimit - 'estimeit/
etc., et cetera	/et setərə/
euro	/´ju:rou/
even	/'i:vn/
evening	/'i:vniɳ/
event	/i'vent/
eventually	/i´ventjuəli/
ever	/'evә(r)/
every	/'evәri/
everyone, everybody	/´evri¸wʌn/
everything	/'evriθiɳ/
everywhere	/´evri¸weə/
evidence	/'evidəns/
evil	/'i:vl/
ex-	//
exact	/ig´zækt/
exactly	/ig´zæktli/
exaggerate	/ig´zædʒə¸reit/
exaggerated	/ig'zædЗзreit/
exam	/ig´zæm/
examination	/ig¸zæmi´neiʃən/
examine	/ɪgˈzæmɪn/
example	/ig´za:mp(ə)l/
excellent	/ˈeksələnt/
except	/ik'sept/
exception	/ik'sepʃn/
exchange	/iks´tʃeindʒ/
excite	/ik'sait/
excited	/ɪkˈsaɪtɪd/
